
> Task :compileJava

> Task :processResources NO-SOURCE
> Task :classes

> Task :run
algorithmName,arraySize,arrayType,shufflePercentage,isInverted,timeTaken
assignment1.BubbleSortUntilNoChange@330bedb4,8315,Integer,50,false,408801554
assignment1.BubbleSortWhileNeeded@2503dbd3,8315,Integer,50,false,243387820
assignment1.BubbleSortPassPerItem@14dad5dc,8315,Integer,75,false,367131022
assignment1.BubbleSortUntilNoChange@330bedb4,8315,Integer,75,false,437168199
assignment1.BubbleSortWhileNeeded@2503dbd3,8315,Integer,75,false,298372935
assignment1.BubbleSortPassPerItem@14dad5dc,2468,Integer,100,true,44523278
assignment1.BubbleSortUntilNoChange@330bedb4,2468,Integer,100,true,51969674
assignment1.BubbleSortWhileNeeded@2503dbd3,2468,Integer,100,true,28007493
assignment1.BubbleSortPassPerItem@14dad5dc,2468,Integer,25,false,39631322
assignment1.BubbleSortUntilNoChange@330bedb4,2468,Integer,25,false,41775577
assignment1.BubbleSortWhileNeeded@2503dbd3,2468,Integer,25,false,23852023
assignment1.BubbleSortPassPerItem@14dad5dc,2468,Integer,50,false,34428649
assignment1.BubbleSortUntilNoChange@330bedb4,2468,Integer,50,false,37819296
assignment1.BubbleSortWhileNeeded@2503dbd3,2468,Integer,50,false,22992617
assignment1.BubbleSortPassPerItem@14dad5dc,2468,Integer,75,false,32901428
assignment1.BubbleSortUntilNoChange@330bedb4,2468,Integer,75,false,37750793
assignment1.BubbleSortWhileNeeded@2503dbd3,2468,Integer,75,false,22468465
assignment1.BubbleSortPassPerItem@14dad5dc,1729,Integer,100,true,13933481
assignment1.BubbleSortUntilNoChange@330bedb4,1729,Integer,100,true,15977290
assignment1.BubbleSortWhileNeeded@2503dbd3,1729,Integer,100,true,9064762
assignment1.BubbleSortPassPerItem@14dad5dc,1729,Integer,25,false,12890364
assignment1.BubbleSortUntilNoChange@330bedb4,1729,Integer,25,false,16380804
assignment1.BubbleSortWhileNeeded@2503dbd3,1729,Integer,25,false,9022748
assignment1.BubbleSortPassPerItem@14dad5dc,1729,Integer,50,false,13885626
assignment1.BubbleSortUntilNoChange@330bedb4,1729,Integer,50,false,17315611
assignment1.BubbleSortWhileNeeded@2503dbd3,1729,Integer,50,false,9511896
assignment1.BubbleSortPassPerItem@14dad5dc,1729,Integer,75,false,14631445
assignment1.BubbleSortUntilNoChange@330bedb4,1729,Integer,75,false,17775925
assignment1.BubbleSortWhileNeeded@2503dbd3,1729,Integer,75,false,10366189
assignment1.BubbleSortPassPerItem@14dad5dc,6510,Integer,100,true,213079495
assignment1.BubbleSortUntilNoChange@330bedb4,6510,Integer,100,true,248426889
assignment1.BubbleSortWhileNeeded@2503dbd3,6510,Integer,100,true,133396681
assignment1.BubbleSortPassPerItem@14dad5dc,6510,Integer,25,false,209450390
assignment1.BubbleSortUntilNoChange@330bedb4,6510,Integer,25,false,261291266
assignment1.BubbleSortWhileNeeded@2503dbd3,6510,Integer,25,false,157724622
assignment1.BubbleSortPassPerItem@14dad5dc,6510,Integer,50,false,259244993
assignment1.BubbleSortUntilNoChange@330bedb4,6510,Integer,50,false,300563081
assignment1.BubbleSortWhileNeeded@2503dbd3,6510,Integer,50,false,190196019
assignment1.BubbleSortPassPerItem@14dad5dc,6510,Integer,75,false,274563383
assignment1.BubbleSortUntilNoChange@330bedb4,6510,Integer,75,false,294475758
assignment1.BubbleSortWhileNeeded@2503dbd3,6510,Integer,75,false,171550822
assignment1.BubbleSortPassPerItem@14dad5dc,1878,Integer,100,true,17232193
assignment1.BubbleSortUntilNoChange@330bedb4,1878,Integer,100,true,19992996
assignment1.BubbleSortWhileNeeded@2503dbd3,1878,Integer,100,true,11510626
assignment1.BubbleSortPassPerItem@14dad5dc,1878,Integer,25,false,16081324
assignment1.BubbleSortUntilNoChange@330bedb4,1878,Integer,25,false,20147470
assignment1.BubbleSortWhileNeeded@2503dbd3,1878,Integer,25,false,11528882
assignment1.BubbleSortPassPerItem@14dad5dc,1878,Integer,50,false,17225953
assignment1.BubbleSortUntilNoChange@330bedb4,1878,Integer,50,false,20898937
assignment1.BubbleSortWhileNeeded@2503dbd3,1878,Integer,50,false,11677380
assignment1.BubbleSortPassPerItem@14dad5dc,1878,Integer,75,false,17581561
assignment1.BubbleSortUntilNoChange@330bedb4,1878,Integer,75,false,21411866
assignment1.BubbleSortWhileNeeded@2503dbd3,1878,Integer,75,false,12600306
assignment1.BubbleSortPassPerItem@14dad5dc,24711,Integer,100,true,3255264805
assignment1.BubbleSortUntilNoChange@330bedb4,24711,Integer,100,true,3390006284
assignment1.BubbleSortWhileNeeded@2503dbd3,24711,Integer,100,true,1845702265
assignment1.BubbleSortPassPerItem@14dad5dc,24711,Integer,25,false,3430227959
assignment1.BubbleSortUntilNoChange@330bedb4,24711,Integer,25,false,3918560411
assignment1.BubbleSortWhileNeeded@2503dbd3,24711,Integer,25,false,2253851790
assignment1.BubbleSortPassPerItem@14dad5dc,24711,Integer,50,false,3565334833
assignment1.BubbleSortUntilNoChange@330bedb4,24711,Integer,50,false,3853724260
assignment1.BubbleSortWhileNeeded@2503dbd3,24711,Integer,50,false,2329133443
assignment1.BubbleSortPassPerItem@14dad5dc,24711,Integer,75,false,3718038224
assignment1.BubbleSortUntilNoChange@330bedb4,24711,Integer,75,false,4085596039
assignment1.BubbleSortWhileNeeded@2503dbd3,24711,Integer,75,false,2558767831
assignment1.BubbleSortPassPerItem@14dad5dc,43430,Integer,100,true,10248570777
assignment1.BubbleSortUntilNoChange@330bedb4,43430,Integer,100,true,10774987342
assignment1.BubbleSortWhileNeeded@2503dbd3,43430,Integer,100,true,6479910259
assignment1.BubbleSortPassPerItem@14dad5dc,43430,Integer,25,false,10516494522
assignment1.BubbleSortUntilNoChange@330bedb4,43430,Integer,25,false,11464176878
assignment1.BubbleSortWhileNeeded@2503dbd3,43430,Integer,25,false,6813577228
assignment1.BubbleSortPassPerItem@14dad5dc,43430,Integer,50,false,10934150977
assignment1.BubbleSortUntilNoChange@330bedb4,43430,Integer,50,false,11927722166
assignment1.BubbleSortWhileNeeded@2503dbd3,43430,Integer,50,false,7280921258
assignment1.BubbleSortPassPerItem@14dad5dc,43430,Integer,75,false,11727699757
assignment1.BubbleSortUntilNoChange@330bedb4,43430,Integer,75,false,12810974583
assignment1.BubbleSortWhileNeeded@2503dbd3,43430,Integer,75,false,8063355260
assignment1.BubbleSortPassPerItem@14dad5dc,35241,Integer,100,true,6721271949
assignment1.BubbleSortUntilNoChange@330bedb4,35241,Integer,100,true,7019940620
assignment1.BubbleSortWhileNeeded@2503dbd3,35241,Integer,100,true,4171375784
assignment1.BubbleSortPassPerItem@14dad5dc,35241,Integer,25,false,6939537113
assignment1.BubbleSortUntilNoChange@330bedb4,35241,Integer,25,false,7565657320
assignment1.BubbleSortWhileNeeded@2503dbd3,35241,Integer,25,false,4483321844
assignment1.BubbleSortPassPerItem@14dad5dc,35241,Integer,50,false,7210742588
assignment1.BubbleSortUntilNoChange@330bedb4,35241,Integer,50,false,7886375269
assignment1.BubbleSortWhileNeeded@2503dbd3,35241,Integer,50,false,4759002019
assignment1.BubbleSortPassPerItem@14dad5dc,35241,Integer,75,false,7731447261
assignment1.BubbleSortUntilNoChange@330bedb4,35241,Integer,75,false,8455825132
assignment1.BubbleSortWhileNeeded@2503dbd3,35241,Integer,75,false,5291351419
assignment1.BubbleSortPassPerItem@14dad5dc,37726,Integer,100,true,7779804348
assignment1.BubbleSortUntilNoChange@330bedb4,37726,Integer,100,true,8087358705
assignment1.BubbleSortWhileNeeded@2503dbd3,37726,Integer,100,true,4794470039
assignment1.BubbleSortPassPerItem@14dad5dc,37726,Integer,25,false,8087691418
assignment1.BubbleSortUntilNoChange@330bedb4,37726,Integer,25,false,8809195405
assignment1.BubbleSortWhileNeeded@2503dbd3,37726,Integer,25,false,5216874605
assignment1.BubbleSortPassPerItem@14dad5dc,37726,Integer,50,false,8453733257
